scope,group_name,item_no,item_name,level,condition,pct_優,pct_稍優,pct_普通,pct_稍劣,pct_劣,note
regional,交通運輸,,區段內寬道度路平均,優,20m以上,0.0,2.5,5.0,7.5,10.0,以區段內已開闢道路平均寬度來衡量
regional,交通運輸,,區段內寬道度路平均,稍優,15m以上未滿20m,-2.5,0.0,2.5,5.0,7.5,以區段內已開闢道路平均寬度來衡量
regional,交通運輸,,區段內寬道度路平均,普通,10m以上未滿15m,-5.0,-2.5,0.0,2.5,5.0,以區段內已開闢道路平均寬度來衡量
regional,交通運輸,,區段內寬道度路平均,稍劣,6m以上未滿10m,-7.5,-5.0,-2.5,0.0,2.5,以區段內已開闢道路平均寬度來衡量
regional,交通運輸,,區段內寬道度路平均,劣,未滿6m或無,-10.0,-7.5,-5.0,-2.5,0.0,以區段內已開闢道路平均寬度來衡量
regional,交通運輸,,接近大程型度車站之,優,未滿500m,0.0,2.5,5.0,7.5,10.0,以接近大型車站距離程度來衡量其優劣等級
regional,交通運輸,,接近大程型度車站之,稍優,"500m以上未滿1,000m",-2.5,0.0,2.5,5.0,7.5,以接近大型車站距離程度來衡量其優劣等級
regional,交通運輸,,接近大程型度車站之,普通,"1,000m以上未滿2,000m",-5.0,-2.5,0.0,2.5,5.0,以接近大型車站距離程度來衡量其優劣等級
regional,交通運輸,,接近大程型度車站之,稍劣,"2,000m以上未滿3,000m",-7.5,-5.0,-2.5,0.0,2.5,以接近大型車站距離程度來衡量其優劣等級
regional,交通運輸,,接近大程型度車站之,劣,"3,000m以上",-10.0,-7.5,-5.0,-2.5,0.0,以接近大型車站距離程度來衡量其優劣等級
regional,交通運輸,,站或牌密之集接程近度程度,優,區段內有,0.0,2.0,4.0,6.0,8.0,以接近站牌距離程度來衡量其優劣等級
regional,交通運輸,,站或牌密之集接程近度程度,稍優,未滿200m,-2.0,0.0,2.0,4.0,6.0,以接近站牌距離程度來衡量其優劣等級
regional,交通運輸,,站或牌密之集接程近度程度,普通,200km以上未滿400m,-4.0,-2.0,0.0,2.0,4.0,以接近站牌距離程度來衡量其優劣等級
regional,交通運輸,,站或牌密之集接程近度程度,稍劣,400m以上未滿700m,-6.0,-4.0,-2.0,0.0,2.0,以接近站牌距離程度來衡量其優劣等級
regional,交通運輸,,站或牌密之集接程近度程度,劣,700m以上,-8.0,-6.0,-4.0,-2.0,0.0,以接近站牌距離程度來衡量其優劣等級
regional,交通運輸,,接交近流交道度流之道有之無程及,優,未滿500m,0.0,2.0,4.0,6.0,8.0,以各地價區段至交流道距離計算
regional,交通運輸,,接交近流交道度流之道有之無程及,稍優,"500m以上未滿1,500m",-2.0,0.0,2.0,4.0,6.0,以各地價區段至交流道距離計算
regional,交通運輸,,接交近流交道度流之道有之無程及,普通,"1,500m以上未滿3,000m",-4.0,-2.0,0.0,2.0,4.0,以各地價區段至交流道距離計算
regional,交通運輸,,接交近流交道度流之道有之無程及,稍劣,"3,000m以上未滿4,500m",-6.0,-4.0,-2.0,0.0,2.0,以各地價區段至交流道距離計算
regional,交通運輸,,接交近流交道度流之道有之無程及,劣,"4,500m以上",-8.0,-6.0,-4.0,-2.0,0.0,以各地價區段至交流道距離計算
regional,交通運輸,,區及段闢內建道程路度規劃,優,已完全開發,0.0,2.5,5.0,7.5,10.0,以區段內道路規劃及闢建程度來衡量
regional,交通運輸,,區及段闢內建道程路度規劃,稍優,大部分已完成,-2.5,0.0,2.5,5.0,7.5,以區段內道路規劃及闢建程度來衡量
regional,交通運輸,,區及段闢內建道程路度規劃,普通,已規劃及闢建中,-5.0,-2.5,0.0,2.5,5.0,以區段內道路規劃及闢建程度來衡量
regional,交通運輸,,區及段闢內建道程路度規劃,稍劣,已進行規劃,-7.5,-5.0,-2.5,0.0,2.5,以區段內道路規劃及闢建程度來衡量
regional,交通運輸,,區及段闢內建道程路度規劃,劣,尚未規劃,-10.0,-7.5,-5.0,-2.5,0.0,以區段內道路規劃及闢建程度來衡量
regional,自然條件,,排水之良否,優,排水系統完善不曾淹水,0.0,2.5,5.0,7.5,10.0,以排水系統是否良好來衡量
regional,自然條件,,排水之良否,稍優,有排水系統不易淹水,-2.5,0.0,2.5,5.0,7.5,以排水系統是否良好來衡量
regional,自然條件,,排水之良否,普通,有排水系統偶有淹水但排水速度快,-5.0,-2.5,0.0,2.5,5.0,以排水系統是否良好來衡量
regional,自然條件,,排水之良否,稍劣,有排水系統偶有淹水,-7.5,-5.0,-2.5,0.0,2.5,以排水系統是否良好來衡量
regional,自然條件,,排水之良否,劣,無排水系統易淹水,-10.0,-7.5,-5.0,-2.5,0.0,以排水系統是否良好來衡量
regional,自然條件,,地勢,優,該區地勢平坦,0.0,2.5,5.0,7.5,10.0,以地勢平坦完整來衡量
regional,自然條件,,地勢,稍優,該區大部分地勢平坦,-2.5,0.0,2.5,5.0,7.5,以地勢平坦完整來衡量
regional,自然條件,,地勢,普通,該區一半地勢平坦,-5.0,-2.5,0.0,2.5,5.0,以地勢平坦完整來衡量
regional,自然條件,,地勢,稍劣,該區大部分地勢高亢或低窪,-7.5,-5.0,-2.5,0.0,2.5,以地勢平坦完整來衡量
regional,自然條件,,地勢,劣,該區全部地勢高亢或低窪,-10.0,-7.5,-5.0,-2.5,0.0,以地勢平坦完整來衡量
regional,公共建設,,接近市場之程度,優,區段內有,0.0,1.5,3.0,4.5,6.0,以接近傳統市場、超級市場或超大型購物中心之距離來衡量
regional,公共建設,,接近市場之程度,稍優,未滿500m,-1.5,0.0,1.5,3.0,4.5,以接近傳統市場、超級市場或超大型購物中心之距離來衡量
regional,公共建設,,接近市場之程度,普通,"500m以上未滿1,000m",-3.0,-1.5,0.0,1.5,3.0,以接近傳統市場、超級市場或超大型購物中心之距離來衡量
regional,公共建設,,接近市場之程度,稍劣,"1,000m以上未滿1,800m",-4.5,-3.0,-1.5,0.0,1.5,以接近傳統市場、超級市場或超大型購物中心之距離來衡量
regional,公共建設,,接近市場之程度,劣,"1,800m以上或無",-6.0,-4.5,-3.0,-1.5,0.0,以接近傳統市場、超級市場或超大型購物中心之距離來衡量
regional,公共建設,,、接徒近步公區園之、程廣度場,優,區段內有,0.0,1.5,3.0,4.5,6.0,以接近鄰里公園、一般公園、廣場、徒步區之距離來衡量
regional,公共建設,,、接徒近步公區園之、程廣度場,稍優,未滿500m,-1.5,0.0,1.5,3.0,4.5,以接近鄰里公園、一般公園、廣場、徒步區之距離來衡量
regional,公共建設,,、接徒近步公區園之、程廣度場,普通,"500m以上未滿1,000m",-3.0,-1.5,0.0,1.5,3.0,以接近鄰里公園、一般公園、廣場、徒步區之距離來衡量
regional,公共建設,,、接徒近步公區園之、程廣度場,稍劣,"1,000m以上未滿1,800m",-4.5,-3.0,-1.5,0.0,1.5,以接近鄰里公園、一般公園、廣場、徒步區之距離來衡量
regional,公共建設,,、接徒近步公區園之、程廣度場,劣,"1,800m以上或無",-6.0,-4.5,-3.0,-1.5,0.0,以接近鄰里公園、一般公園、廣場、徒步區之距離來衡量
regional,公共建設,,接近之 觀程施光度 遊憩設,優,區段內有,0.0,0.75,1.5,2.25,3.0,以接近觀光遊憩設施程度來衡量其優劣等級
regional,公共建設,,接近之 觀程施光度 遊憩設,稍優,未滿500m,-0.75,0.0,0.75,1.5,2.25,以接近觀光遊憩設施程度來衡量其優劣等級
regional,公共建設,,接近之 觀程施光度 遊憩設,普通,"500m以上未滿1,000m",-1.5,-0.75,0.0,0.75,1.5,以接近觀光遊憩設施程度來衡量其優劣等級
regional,公共建設,,接近之 觀程施光度 遊憩設,稍劣,"1,000km以上未滿1,500m",-2.25,-1.5,-0.75,0.0,0.75,以接近觀光遊憩設施程度來衡量其優劣等級
regional,公共建設,,接近之 觀程施光度 遊憩設,劣,"1,500m以上或無",-3.0,-2.25,-1.5,-0.75,0.0,以接近觀光遊憩設施程度來衡量其優劣等級
regional,公共建設,,停車場程地度之便利,優,區段內有,0.0,1.0,2.0,3.0,4.0,以接近停車位的距離衡量其優劣等級
regional,公共建設,,停車場程地度之便利,稍優,未滿200m,-1.0,0.0,1.0,2.0,3.0,以接近停車位的距離衡量其優劣等級
regional,公共建設,,停車場程地度之便利,普通,200m以上未滿400m,-2.0,-1.0,0.0,1.0,2.0,以接近停車位的距離衡量其優劣等級
regional,公共建設,,停車場程地度之便利,稍劣,400m以上未滿700m,-3.0,-2.0,-1.0,0.0,1.0,以接近停車位的距離衡量其優劣等級
regional,公共建設,,停車場程地度之便利,劣,700m以上或無,-4.0,-3.0,-2.0,-1.0,0.0,以接近停車位的距離衡量其優劣等級
regional,特殊設施環境汙染,,有氣電無體業及燃設接料施近設及程施公度之用,優,"3,000m以上",0.0,2.0,4.0,6.0,8.0,以區段內是否有此特殊設施及接近該等設施距離之遠近來衡量
regional,特殊設施環境汙染,,有氣電無體業及燃設接料施近設及程施公度之用,稍優,"2,000m以上未滿3,000m",-2.0,0.0,2.0,4.0,6.0,以區段內是否有此特殊設施及接近該等設施距離之遠近來衡量
regional,特殊設施環境汙染,,有氣電無體業及燃設接料施近設及程施公度之用,普通,"1,000m以上未滿2,000m",-4.0,-2.0,0.0,2.0,4.0,以區段內是否有此特殊設施及接近該等設施距離之遠近來衡量
regional,特殊設施環境汙染,,有氣電無體業及燃設接料施近設及程施公度之用,稍劣,"500m以上未滿1,000m",-6.0,-4.0,-2.0,0.0,2.0,以區段內是否有此特殊設施及接近該等設施距離之遠近來衡量
regional,特殊設施環境汙染,,有氣電無體業及燃設接料施近設及程施公度之用,劣,未滿500m,-8.0,-6.0,-4.0,-2.0,0.0,以區段內是否有此特殊設施及接近該等設施距離之遠近來衡量
regional,特殊設施環境汙染,,殯及葬接設近施程之度有無,優,"3,000m以上",0.0,2.0,4.0,6.0,8.0,以該地區有無墓地、殯儀館、火葬場及接近程度來衡量其優劣等級
regional,特殊設施環境汙染,,殯及葬接設近施程之度有無,稍優,"2,000m以上未滿3,000m",-2.0,0.0,2.0,4.0,6.0,以該地區有無墓地、殯儀館、火葬場及接近程度來衡量其優劣等級
regional,特殊設施環境汙染,,殯及葬接設近施程之度有無,普通,"1,000m以上未滿2,000m",-4.0,-2.0,0.0,2.0,4.0,以該地區有無墓地、殯儀館、火葬場及接近程度來衡量其優劣等級
regional,特殊設施環境汙染,,殯及葬接設近施程之度有無,稍劣,"500m以上未滿1,000m",-6.0,-4.0,-2.0,0.0,2.0,以該地區有無墓地、殯儀館、火葬場及接近程度來衡量其優劣等級
regional,特殊設施環境汙染,,殯及葬接設近施程之度有無,劣,未滿500m,-8.0,-6.0,-4.0,-2.0,0.0,以該地區有無墓地、殯儀館、火葬場及接近程度來衡量其優劣等級
regional,特殊設施環境汙染,,之廢有棄無物度及處接理近設程施,優,"3,000m以上",0.0,2.0,4.0,6.0,8.0,以該地區有無垃圾場、掩埋場、焚化爐及接近程度來衡量其優劣等級
regional,特殊設施環境汙染,,之廢有棄無物度及處接理近設程施,稍優,"2,000m以上未滿3,000m",-2.0,0.0,2.0,4.0,6.0,以該地區有無垃圾場、掩埋場、焚化爐及接近程度來衡量其優劣等級
regional,特殊設施環境汙染,,之廢有棄無物度及處接理近設程施,普通,"1,000m以上未滿2,000m",-4.0,-2.0,0.0,2.0,4.0,以該地區有無垃圾場、掩埋場、焚化爐及接近程度來衡量其優劣等級
regional,特殊設施環境汙染,,之廢有棄無物度及處接理近設程施,稍劣,"500m以上未滿1,000m",-6.0,-4.0,-2.0,0.0,2.0,以該地區有無垃圾場、掩埋場、焚化爐及接近程度來衡量其優劣等級
regional,特殊設施環境汙染,,之廢有棄無物度及處接理近設程施,劣,未滿500m,-8.0,-6.0,-4.0,-2.0,0.0,以該地區有無垃圾場、掩埋場、焚化爐及接近程度來衡量其優劣等級
regional,特殊設施環境汙染,,環及境接污近染程之度有無,優,"3,000m以上",0.0,1.5,3.0,4.5,6.0,以區段內是否有污染設施及接近程度來衡量其優劣等級
regional,特殊設施環境汙染,,環及境接污近染程之度有無,稍優,"2,000m以上未滿3,000m",-1.5,0.0,1.5,3.0,4.5,以區段內是否有污染設施及接近程度來衡量其優劣等級
regional,特殊設施環境汙染,,環及境接污近染程之度有無,普通,"1,000m以上未滿2,000m",-3.0,-1.5,0.0,1.5,3.0,以區段內是否有污染設施及接近程度來衡量其優劣等級
regional,特殊設施環境汙染,,環及境接污近染程之度有無,稍劣,"500m以上未滿1,000m",-4.5,-3.0,-1.5,0.0,1.5,以區段內是否有污染設施及接近程度來衡量其優劣等級
regional,特殊設施環境汙染,,環及境接污近染程之度有無,劣,未滿500m,-6.0,-4.5,-3.0,-1.5,0.0,以區段內是否有污染設施及接近程度來衡量其優劣等級
regional,工商活動,,無百、貨數程 公量度 司、之接有近,優,區段內有,0.0,2.0,4.0,6.0,8.0,以百貨公司之接近程度來衡量其優劣等級
regional,工商活動,,無百、貨數程 公量度 司、之接有近,稍優,未滿500m,-2.0,0.0,2.0,4.0,6.0,以百貨公司之接近程度來衡量其優劣等級
regional,工商活動,,無百、貨數程 公量度 司、之接有近,普通,"500m以上未滿1,000m",-4.0,-2.0,0.0,2.0,4.0,以百貨公司之接近程度來衡量其優劣等級
regional,工商活動,,無百、貨數程 公量度 司、之接有近,稍劣,"1,000m以上未滿1,500m",-6.0,-4.0,-2.0,0.0,2.0,以百貨公司之接近程度來衡量其優劣等級
regional,工商活動,,無百、貨數程 公量度 司、之接有近,劣,"1,500m以上或無",-8.0,-6.0,-4.0,-2.0,0.0,以百貨公司之接近程度來衡量其優劣等級
regional,工商活動,,無金、融數程 機量度 構、之接有近,優,區段內有,0.0,1.0,2.0,3.0,4.0,以金融機構之接近程度來衡量其優劣等級
regional,工商活動,,無金、融數程 機量度 構、之接有近,稍優,未滿500m,-1.0,0.0,1.0,2.0,3.0,以金融機構之接近程度來衡量其優劣等級
regional,工商活動,,無金、融數程 機量度 構、之接有近,普通,"500m以上未滿1,000m",-2.0,-1.0,0.0,1.0,2.0,以金融機構之接近程度來衡量其優劣等級
regional,工商活動,,無金、融數程 機量度 構、之接有近,稍劣,"1,000m以上未滿1,500m",-3.0,-2.0,-1.0,0.0,1.0,以金融機構之接近程度來衡量其優劣等級
regional,工商活動,,無金、融數程 機量度 構、之接有近,劣,"1,500m以上或無",-4.0,-3.0,-2.0,-1.0,0.0,以金融機構之接近程度來衡量其優劣等級
regional,工商活動,,無娛、樂數程 設量度 施、之接有近,優,區段內有,0.0,1.0,2.0,3.0,4.0,以娛樂設施之接近程度來衡量其優劣等級
regional,工商活動,,無娛、樂數程 設量度 施、之接有近,稍優,未滿500m,-1.0,0.0,1.0,2.0,3.0,以娛樂設施之接近程度來衡量其優劣等級
regional,工商活動,,無娛、樂數程 設量度 施、之接有近,普通,"500m以上未滿1,000m",-2.0,-1.0,0.0,1.0,2.0,以娛樂設施之接近程度來衡量其優劣等級
regional,工商活動,,無娛、樂數程 設量度 施、之接有近,稍劣,"1,000m以上未滿1,500m",-3.0,-2.0,-1.0,0.0,1.0,以娛樂設施之接近程度來衡量其優劣等級
regional,工商活動,,無娛、樂數程 設量度 施、之接有近,劣,"1,500m以上或無",-4.0,-3.0,-2.0,-1.0,0.0,以娛樂設施之接近程度來衡量其優劣等級
regional,工商活動,,無 大觀、 型光數 展程 飯量 示度 店、 中之接 心有近 或,優,區段內有,0.0,2.0,4.0,6.0,8.0,以大型展示中心或觀光飯店之接近程度來衡量其優劣等級
regional,工商活動,,無 大觀、 型光數 展程 飯量 示度 店、 中之接 心有近 或,稍優,未滿500m,-2.0,0.0,2.0,4.0,6.0,以大型展示中心或觀光飯店之接近程度來衡量其優劣等級
regional,工商活動,,無 大觀、 型光數 展程 飯量 示度 店、 中之接 心有近 或,普通,"500m以上未滿1,000m",-4.0,-2.0,0.0,2.0,4.0,以大型展示中心或觀光飯店之接近程度來衡量其優劣等級
regional,工商活動,,無 大觀、 型光數 展程 飯量 示度 店、 中之接 心有近 或,稍劣,"1,000m以上未滿1,500m",-6.0,-4.0,-2.0,0.0,2.0,以大型展示中心或觀光飯店之接近程度來衡量其優劣等級
regional,工商活動,,無 大觀、 型光數 展程 飯量 示度 店、 中之接 心有近 或,劣,"1,500m以上或無",-8.0,-6.0,-4.0,-2.0,0.0,以大型展示中心或觀光飯店之接近程度來衡量其優劣等級
regional,工商活動,,顧客通寡行量之多,優,顧客通行量多,0.0,3.0,6.0,9.0,12.0,以平均顧客通行量之多寡來衡量其優劣等級
regional,工商活動,,顧客通寡行量之多,稍優,顧客通行量稍多,-3.0,0.0,3.0,6.0,9.0,以平均顧客通行量之多寡來衡量其優劣等級
regional,工商活動,,顧客通寡行量之多,普通,顧客通行量普通,-6.0,-3.0,0.0,3.0,6.0,以平均顧客通行量之多寡來衡量其優劣等級
regional,工商活動,,顧客通寡行量之多,稍劣,顧客通行量較少,-9.0,-6.0,-3.0,0.0,3.0,以平均顧客通行量之多寡來衡量其優劣等級
regional,工商活動,,顧客通寡行量之多,劣,顧客通行量少,-12.0,-9.0,-6.0,-3.0,0.0,以平均顧客通行量之多寡來衡量其優劣等級
regional,工商活動,,店舖之毗連狀態,優,80%以上作為店舖,0.0,3.0,6.0,9.0,12.0,以區段內店舖多寡來衡量其優劣等級
regional,工商活動,,店舖之毗連狀態,稍優,70%以上未滿80%作為店舖,-3.0,0.0,3.0,6.0,9.0,以區段內店舖多寡來衡量其優劣等級
regional,工商活動,,店舖之毗連狀態,普通,60%以上未滿70%作為店舖,-6.0,-3.0,0.0,3.0,6.0,以區段內店舖多寡來衡量其優劣等級
regional,工商活動,,店舖之毗連狀態,稍劣,50%以上未滿60%作為店舖,-9.0,-6.0,-3.0,0.0,3.0,以區段內店舖多寡來衡量其優劣等級
regional,工商活動,,店舖之毗連狀態,劣,未滿50%作為店舖,-12.0,-9.0,-6.0,-3.0,0.0,以區段內店舖多寡來衡量其優劣等級
individual,宗地條件,,面積,優,93m2以上,0.0,2.0,4.0,6.0,8.0,以宗地面積是否達最適開發規模衡量其優劣
individual,宗地條件,,面積,稍優,83m2以上未滿93m2,-2.0,0.0,2.0,4.0,6.0,以宗地面積是否達最適開發規模衡量其優劣
individual,宗地條件,,面積,普通,73m2以上未滿83m2,-4.0,-2.0,0.0,2.0,4.0,以宗地面積是否達最適開發規模衡量其優劣
individual,宗地條件,,面積,稍劣,63m2以上未滿73m2,-6.0,-4.0,-2.0,0.0,2.0,以宗地面積是否達最適開發規模衡量其優劣
individual,宗地條件,,面積,劣,未滿63m2,-8.0,-6.0,-4.0,-2.0,0.0,以宗地面積是否達最適開發規模衡量其優劣
individual,宗地條件,,寬度,優,40m以上,0.0,1.0,2.0,3.0,4.0,以宗地寬度衡量其優劣
individual,宗地條件,,寬度,稍優,20m以上未滿40m,-1.0,0.0,1.0,2.0,3.0,以宗地寬度衡量其優劣
individual,宗地條件,,寬度,普通,10m以上未滿20m,-2.0,-1.0,0.0,1.0,2.0,以宗地寬度衡量其優劣
individual,宗地條件,,寬度,稍劣,5m以上未滿10m,-3.0,-2.0,-1.0,0.0,1.0,以宗地寬度衡量其優劣
individual,宗地條件,,寬度,劣,未滿5m,-4.0,-3.0,-2.0,-1.0,0.0,以宗地寬度衡量其優劣
individual,宗地條件,,深度,優,40m以上未滿100m,0.0,1.0,2.0,3.0,4.0,以宗地深度衡量其優劣
individual,宗地條件,,深度,稍優,30m以上未滿40m,-1.0,0.0,1.0,2.0,3.0,以宗地深度衡量其優劣
individual,宗地條件,,深度,普通,20m以上未滿30m,-2.0,-1.0,0.0,1.0,2.0,以宗地深度衡量其優劣
individual,宗地條件,,深度,稍劣,10m以上未滿20m,-3.0,-2.0,-1.0,0.0,1.0,以宗地深度衡量其優劣
individual,宗地條件,,深度,劣,未滿10m或100m以上,-4.0,-3.0,-2.0,-1.0,0.0,以宗地深度衡量其優劣
individual,宗地條件,,形狀,優,方形,0.0,,,,5.0,以宗地形狀是否易於規劃利用衡量其優劣
individual,宗地條件,,形狀,劣,不規則形,-5.0,,,,0.0,以宗地形狀是否易於規劃利用衡量其優劣
individual,宗地條件,,臨路情形,優,3面以上臨街,0.0,2.0,4.0,6.0,8.0,以宗地實際臨街情況衡量其優劣
individual,宗地條件,,臨路情形,稍優,路角地,-2.0,0.0,2.0,4.0,6.0,以宗地實際臨街情況衡量其優劣
individual,宗地條件,,臨路情形,普通,雙面臨街,-4.0,-2.0,0.0,2.0,4.0,以宗地實際臨街情況衡量其優劣
individual,宗地條件,,臨路情形,稍劣,單面臨街,-6.0,-4.0,-2.0,0.0,2.0,以宗地實際臨街情況衡量其優劣
individual,宗地條件,,臨路情形,劣,非臨街地,-8.0,-6.0,-4.0,-2.0,0.0,以宗地實際臨街情況衡量其優劣
individual,宗地條件,,地勢,優,平坦,0.0,,1.5,,3.0,以宗地地勢高低衡量其優劣。
individual,宗地條件,,地勢,普通,緩坡,-1.5,,0.0,,1.5,以宗地地勢高低衡量其優劣。
individual,宗地條件,,地勢,劣,低窪,-3.0,,-1.5,,0.0,以宗地地勢高低衡量其優劣。
individual,道路條件,,道路種類,優,主要道路,0.0,2.0,4.0,6.0,8.0,以道路種類衡量其優劣
individual,道路條件,,道路種類,稍優,次要道路,-2.0,0.0,2.0,4.0,6.0,以道路種類衡量其優劣
individual,道路條件,,道路種類,普通,巷道,-4.0,-2.0,0.0,2.0,4.0,以道路種類衡量其優劣
individual,道路條件,,道路種類,稍劣,既成巷道,-6.0,-4.0,-2.0,0.0,2.0,以道路種類衡量其優劣
individual,道路條件,,道路種類,劣,私設巷道,-8.0,-6.0,-4.0,-2.0,0.0,以道路種類衡量其優劣
individual,道路條件,,面前道路寬度,優,20m以上,0.0,2.5,5.0,7.5,10.0,以道路面前道路寬度量其優劣
individual,道路條件,,面前道路寬度,稍優,15m以上未滿20m,-2.5,0.0,2.5,5.0,7.5,以道路面前道路寬度量其優劣
individual,道路條件,,面前道路寬度,普通,8m以上未滿15m,-5.0,-2.5,0.0,2.5,5.0,以道路面前道路寬度量其優劣
individual,道路條件,,面前道路寬度,稍劣,4m以上未滿8m,-7.5,-5.0,-2.5,0.0,2.5,以道路面前道路寬度量其優劣
individual,道路條件,,面前道路寬度,劣,未滿4m,-10.0,-7.5,-5.0,-2.5,0.0,以道路面前道路寬度量其優劣
individual,接近條件,,接近學校程度,優,未滿200m,0.0,1.0,2.0,3.0,4.0,以宗地接近學校程度衡量其優劣
individual,接近條件,,接近學校程度,稍優,200m以上未滿600m,-1.0,0.0,1.0,2.0,3.0,以宗地接近學校程度衡量其優劣
individual,接近條件,,接近學校程度,普通,600m以上未滿1200m,-2.0,-1.0,0.0,1.0,2.0,以宗地接近學校程度衡量其優劣
individual,接近條件,,接近學校程度,稍劣,1200m以上未滿2000m,-3.0,-2.0,-1.0,0.0,1.0,以宗地接近學校程度衡量其優劣
individual,接近條件,,接近學校程度,劣,2000m以上或無,-4.0,-3.0,-2.0,-1.0,0.0,以宗地接近學校程度衡量其優劣
individual,接近條件,,接近市場程度,優,未滿500m,0.0,2.5,5.0,7.5,10.0,以宗地接近市場程度衡量其優劣
individual,接近條件,,接近市場程度,稍優,500m以上未滿1000m,-2.5,0.0,2.5,5.0,7.5,以宗地接近市場程度衡量其優劣
individual,接近條件,,接近市場程度,普通,1000m以上未滿1500m,-5.0,-2.5,0.0,2.5,5.0,以宗地接近市場程度衡量其優劣
individual,接近條件,,接近市場程度,稍劣,1500m以上未滿2000m,-7.5,-5.0,-2.5,0.0,2.5,以宗地接近市場程度衡量其優劣
individual,接近條件,,接近市場程度,劣,2000m以上或無,-10.0,-7.5,-5.0,-2.5,0.0,以宗地接近市場程度衡量其優劣
individual,接近條件,,接近公程園度、廣場,優,未滿300m,0.0,1.0,2.0,3.0,4.0,以宗地接近公園、廣場程度衡量其優劣
individual,接近條件,,接近公程園度、廣場,稍優,300m以上未滿500m,-1.0,0.0,1.0,2.0,3.0,以宗地接近公園、廣場程度衡量其優劣
individual,接近條件,,接近公程園度、廣場,普通,500m以上未滿1000m,-2.0,-1.0,0.0,1.0,2.0,以宗地接近公園、廣場程度衡量其優劣
individual,接近條件,,接近公程園度、廣場,稍劣,1000m以上未滿1500m,-3.0,-2.0,-1.0,0.0,1.0,以宗地接近公園、廣場程度衡量其優劣
